account_id,customer_id,account_type,currency,branch_code,status,open_date,close_date
ACC001,CUST001,CURRENT,GBP,20-00-01,ACTIVE,2018-01-15,
ACC002,CUST001,SAVINGS,GBP,20-00-01,ACTIVE,2018-03-10,
ACC003,CUST002,CURRENT,GBP,20-45-12,ACTIVE,2019-06-01,
ACC004,CUST003,CURRENT,GBP,20-11-34,ACTIVE,2015-09-20,
ACC005,CUST003,SAVINGS,GBP,20-11-34,ACTIVE,2015-10-01,
ACC006,CUST003,MORTGAGE,GBP,20-11-34,ACTIVE,2016-02-15,
ACC007,CUST004,CURRENT,GBP,20-67-89,ACTIVE,2023-11-10,
ACC008,CUST005,CURRENT,GBP,20-00-01,ACTIVE,2010-03-05,
ACC009,CUST005,LOAN,GBP,20-00-01,ACTIVE,2020-06-15,
ACC010,CUST006,CURRENT,GBP,20-23-45,ACTIVE,2020-02-14,
ACC011,CUST006,CREDIT_CARD,GBP,20-23-45,ACTIVE,2020-05-01,
ACC012,CUST007,CURRENT,GBP,20-56-78,DORMANT,2012-07-30,
ACC013,CUST008,CURRENT,GBP,20-34-56,ACTIVE,2017-04-18,
ACC014,CUST008,SAVINGS,GBP,20-34-56,ACTIVE,2017-06-01,
ACC015,CUST009,CURRENT,USD,20-00-01,ACTIVE,2021-01-22,
ACC016,CUST010,CURRENT,GBP,20-89-01,FROZEN,2022-08-05,
ACC017,CUST011,CURRENT,GBP,20-12-34,ACTIVE,2008-11-12,
ACC018,CUST011,SAVINGS,GBP,20-12-34,ACTIVE,2009-01-05,
ACC019,CUST011,MORTGAGE,GBP,20-12-34,CLOSED,2010-03-01,2023-03-01
ACC020,CUST012,CURRENT,GBP,20-45-67,ACTIVE,2019-03-25,
ACC021,CUST013,CURRENT,EUR,20-78-90,ACTIVE,2016-12-01,
ACC022,CUST014,CURRENT,GBP,20-23-45,ACTIVE,2023-05-15,
ACC023,CUST015,CURRENT,GBP,20-00-01,ACTIVE,2024-01-08,
ACC024,CUST016,CURRENT,GBP,20-56-78,ACTIVE,2005-06-20,
ACC025,CUST016,SAVINGS,GBP,20-56-78,ACTIVE,2005-07-01,
ACC026,CUST017,CURRENT,GBP,20-34-56,ACTIVE,2021-09-30,
ACC027,CUST018,CURRENT,GBP,20-00-01,ACTIVE,2011-08-14,
ACC028,CUST019,CURRENT,GBP,20-67-89,ACTIVE,2020-07-22,
ACC029,CUST020,CURRENT,GBP,20-45-12,ACTIVE,2022-03-11,
ACC030,CUST020,CREDIT_CARD,GBP,20-45-12,ACTIVE,2022-06-01,
