instrument_id,valuation_date,instrument_type,instrument_name,currency,mid_price,bid_price,ask_price
SONIA_ON,2024-01-02,INTEREST_RATE,SONIA Overnight Rate,GBP,5.1900,5.1850,5.1950
SONIA_ON,2024-01-03,INTEREST_RATE,SONIA Overnight Rate,GBP,5.1900,5.1850,5.1950
SONIA_ON,2024-01-04,INTEREST_RATE,SONIA Overnight Rate,GBP,5.1900,5.1875,5.1925
SONIA_ON,2024-01-05,INTEREST_RATE,SONIA Overnight Rate,GBP,5.1900,5.1850,5.1950
BOE_BASE,2024-01-02,INTEREST_RATE,Bank of England Base Rate,GBP,5.2500,5.2500,5.2500
BOE_BASE,2024-01-03,INTEREST_RATE,Bank of England Base Rate,GBP,5.2500,5.2500,5.2500
GBPUSD,2024-01-02,FX_RATE,GBP/USD Spot,USD,1.2735,1.2733,1.2737
GBPUSD,2024-01-03,FX_RATE,GBP/USD Spot,USD,1.2680,1.2678,1.2682
GBPUSD,2024-01-04,FX_RATE,GBP/USD Spot,USD,1.2710,1.2708,1.2712
GBPUSD,2024-01-05,FX_RATE,GBP/USD Spot,USD,1.2695,1.2693,1.2697
GBPEUR,2024-01-02,FX_RATE,GBP/EUR Spot,EUR,1.1535,1.1533,1.1537
GBPEUR,2024-01-03,FX_RATE,GBP/EUR Spot,EUR,1.1520,1.1518,1.1522
GBPEUR,2024-01-04,FX_RATE,GBP/EUR Spot,EUR,1.1545,1.1543,1.1547
GBPEUR,2024-01-05,FX_RATE,GBP/EUR Spot,EUR,1.1530,1.1528,1.1532
FTSE100,2024-01-02,EQUITY_INDEX,FTSE 100 Index,GBP,7733.24,7732.00,7734.48
FTSE100,2024-01-03,EQUITY_INDEX,FTSE 100 Index,GBP,7682.30,7681.00,7683.60
FTSE100,2024-01-04,EQUITY_INDEX,FTSE 100 Index,GBP,7694.19,7693.00,7695.38
FTSE100,2024-01-05,EQUITY_INDEX,FTSE 100 Index,GBP,7651.48,7650.00,7652.96
GILT_10Y,2024-01-02,BOND_YIELD,UK Gilt 10Y Yield,GBP,3.6200,3.6150,3.6250
GILT_10Y,2024-01-03,BOND_YIELD,UK Gilt 10Y Yield,GBP,3.6450,3.6400,3.6500
GILT_10Y,2024-01-04,BOND_YIELD,UK Gilt 10Y Yield,GBP,3.6300,3.6250,3.6350
GILT_10Y,2024-01-05,BOND_YIELD,UK Gilt 10Y Yield,GBP,3.6550,3.6500,3.6600
USDJPY,2024-01-02,FX_RATE,USD/JPY Spot,JPY,141.0400,141.0200,141.0600
USDJPY,2024-01-03,FX_RATE,USD/JPY Spot,JPY,143.2900,143.2700,143.3100
